sleep_response,sleep,slpnaps,totwrk,educ,age,agesq,male,marr,yngkid,gdhlth,inlf,hrwage,lhrwage,work_hours_week,sleep_hours_week,sleep_hours_day,wage_observed,not_in_labor_force
3150,3150,3210,1825,15,40,1600,1,1,0,1,1,8.310003280639648,2.117460012435913,30.416666666666668,52.5,7.5,1,0
3113,3113,3113,2563,10,34,1156,0,1,0,1,1,2.7699990272521973,1.0188469886779783,42.71666666666667,51.88333333333333,7.411904761904762,1,0
2816,2816,2816,2576,16,23,529,0,1,0,1,1,5.540002822875977,1.711995005607605,42.93333333333333,46.93333333333333,6.704761904761905,1,0
3105,3105,3105,2275,12,24,576,1,1,1,1,1,5.540002822875977,1.711995005607605,37.916666666666664,51.75,7.392857142857142,1,0
3605,3605,3605,3595,12,39,1521,1,1,0,1,1,5.540002822875977,1.711995005607605,59.916666666666664,60.083333333333336,8.583333333333334,1,0
3611,3611,3611,2575,17,39,1521,1,0,0,1,1,7.850003242492676,2.060513973236084,42.916666666666664,60.18333333333333,8.597619047619048,1,0
3128,3128,3128,2843,16,33,1089,1,1,0,1,1,7.850003242492676,2.060513973236084,47.38333333333333,52.13333333333333,7.447619047619047,1,0
3213,3213,3213,2188,12,31,961,1,1,0,1,1,7.850003242492676,2.060513973236084,36.46666666666667,53.55,7.65,1,0
3860,3860,6110,0,14,37,1369,1,1,0,1,1,2.539999723434448,0.9321640133857728,0.0,64.33333333333333,9.190476190476192,1,0
4275,4275,4388,2248,6,60,3600,0,1,0,0,1,1.2700001001358032,0.2390169948339462,37.46666666666667,71.25,10.178571428571427,1,0
3076,3076,3701,2876,12,43,1849,1,1,0,1,1,7.619997501373291,2.030776023864746,47.93333333333333,51.266666666666666,7.323809523809524,1,0
4313,4313,4313,2758,16,34,1156,1,1,1,1,1,7.390002250671387,2.000128030776977,45.96666666666667,71.88333333333334,10.269047619047619,1,0
2885,2885,2885,2578,16,37,1369,1,1,0,1,1,4.620001316070557,1.5303950309753418,42.96666666666667,48.083333333333336,6.8690476190476195,1,0
3165,3165,3165,2163,17,50,2500,1,0,0,1,1,16.170005798339844,2.78315806388855,36.05,52.75,7.5357142857142865,1,0
3105,3105,3555,4075,12,32,1024,1,1,0,1,1,2.309998750686645,0.8372470140457153,67.91666666666667,51.75,7.392857142857142,1,0
3063,3063,3103,2388,12,47,2209,1,1,0,1,1,6.930001735687256,1.93586003780365,39.8,51.05,7.292857142857143,1,0
3368,3368,3368,2048,17,35,1225,1,1,1,1,1,6.930001735687256,1.93586003780365,34.13333333333333,56.13333333333333,8.019047619047619,1,0
3415,3415,3415,2935,16,62,3844,1,1,0,1,1,4.620001316070557,1.5303950309753418,48.916666666666664,56.916666666666664,8.130952380952381,1,0
3508,3508,3508,2400,16,38,1444,1,1,1,1,1,11.550006866455078,2.446686029434204,40.0,58.46666666666667,8.352380952380953,1,0
2788,2788,2908,2325,16,51,2601,1,0,0,1,1,8.330004692077637,2.119863986968994,38.75,46.46666666666667,6.638095238095238,1,0
3180,3180,3385,2108,12,32,1024,1,0,0,1,1,4.990000247955322,1.607435941696167,35.13333333333333,53.0,7.571428571428571,1,0
3123,3123,3123,2483,12,49,2401,1,1,0,1,1,4.87000036239624,1.5830940008163452,41.38333333333333,52.05,7.435714285714286,1,0
3388,3388,3613,1913,17,36,1296,1,1,0,1,1,6.46999979019165,1.8671760559082031,31.883333333333333,56.46666666666667,8.066666666666666,1,0
3610,3610,3610,1738,17,41,1681,1,1,0,1,1,6.46999979019165,1.8671760559082031,28.966666666666665,60.166666666666664,8.595238095238095,1,0
3351,3351,3456,3671,12,34,1156,1,1,1,1,1,2.080000162124634,0.732367992401123,61.18333333333333,55.85,7.978571428571429,1,0
2653,2653,3088,3225,12,36,1296,1,1,0,1,1,4.159999847412109,1.425515055656433,53.75,44.21666666666667,6.316666666666666,1,0
3413,3413,3533,4058,16,31,961,1,1,1,1,1,4.159999847412109,1.425515055656433,67.63333333333334,56.88333333333333,8.126190476190477,1,0
3218,3218,3278,2713,12,38,1444,1,1,0,1,1,5.269998073577881,1.6620299816131592,45.21666666666667,53.63333333333333,7.661904761904762,1,0
3045,3045,3045,2982,12,32,1024,1,1,1,1,1,3.700000762939453,1.3083330392837524,49.7,50.75,7.25,1,0
3433,3433,3808,3025,12,35,1225,1,1,0,1,1,3.700000762939453,1.3083330392837524,50.416666666666664,57.21666666666667,8.173809523809524,1,0
3730,3730,3888,2213,16,23,529,0,1,0,1,1,2.6599998474121094,0.9783260226249696,36.88333333333333,62.166666666666664,8.880952380952381,1,0
2970,2970,2970,2125,15,27,729,1,1,1,1,1,1.390000343322754,0.3293040096759796,35.416666666666664,49.5,7.071428571428571,1,0
3475,3475,3475,2313,12,47,2209,0,1,0,1,1,0.959999978542328,-0.0408219993114471,38.55,57.916666666666664,8.273809523809524,1,0
3430,3430,3430,3140,11,39,1521,1,1,0,1,1,1.919999599456787,0.6523249745368958,52.333333333333336,57.166666666666664,8.166666666666666,1,0
2910,2910,2940,625,14,34,1156,0,1,1,1,1,1.43999981880188,0.3646430075168609,10.416666666666666,48.5,6.928571428571429,1,0
3570,3570,3577,2350,7,52,2704,1,1,0,1,1,2.599998712539673,0.9555109739303588,39.166666666666664,59.5,8.5,1,0
3060,3060,3345,2745,12,45,2025,1,1,0,1,1,6.250003337860107,1.8325819969177248,45.75,51.0,7.2857142857142865,1,0
3495,3495,3660,2038,17,61,3721,1,1,0,1,1,5.769999504089356,1.7526719570159912,33.96666666666667,58.25,8.321428571428571,1,0
2970,2970,2970,2880,12,44,1936,0,0,0,0,1,5.769999504089356,1.7526719570159912,48.0,49.5,7.071428571428571,1,0
3008,3008,3423,3331,8,51,2601,1,1,0,0,1,5.769999504089356,1.7526719570159912,55.516666666666666,50.13333333333333,7.161904761904762,1,0
3428,3428,3428,1175,15,49,2401,0,1,0,1,1,4.809999465942383,1.5706969499588013,19.583333333333332,57.13333333333333,8.161904761904761,1,0
3288,3288,3288,1605,10,64,4096,1,1,0,1,1,4.809999465942383,1.5706969499588013,26.75,54.8,7.828571428571428,1,0
2400,2400,2400,3146,12,30,900,1,1,1,1,1,9.61999797821045,2.2638440132141118,52.43333333333333,40.0,5.7142857142857135,1,0
3070,3070,3100,3135,12,36,1296,1,1,0,1,1,9.61999797821045,2.2638440132141118,52.25,51.166666666666664,7.309523809523809,1,0
2250,2250,2250,4065,15,26,676,0,1,1,1,1,4.329997539520264,1.4655669927597046,67.75,37.5,5.357142857142858,1,0
3323,3323,3628,2968,8,44,1936,1,1,0,0,1,8.660002708435059,2.158715009689331,49.46666666666667,55.38333333333333,7.911904761904762,1,0
3023,3023,3023,2791,12,28,784,1,0,0,1,1,4.090000152587891,1.4085450172424316,46.516666666666666,50.38333333333333,7.197619047619047,1,0
3505,3505,3505,2398,13,59,3481,1,1,0,1,1,32.47998046875,3.480623960494995,39.96666666666667,58.416666666666664,8.345238095238095,1,0
3503,3503,3503,1588,12,35,1225,1,1,0,1,1,5.400000095367432,1.686398983001709,26.466666666666665,58.38333333333333,8.34047619047619,1,0
3370,3370,3370,2611,12,56,3136,1,1,0,1,1,3.6100008487701416,1.2837079763412476,43.516666666666666,56.166666666666664,8.023809523809524,1,0
3120,3120,3120,2948,12,38,1444,1,1,0,1,1,7.220000743865967,1.9768550395965576,49.13333333333333,52.0,7.428571428571429,1,0
3308,3308,3308,3038,17,28,784,1,1,0,1,1,7.220000743865967,1.9768550395965576,50.63333333333333,55.13333333333333,7.876190476190476,1,0
3398,3398,3421,1655,14,50,2500,0,1,0,1,1,3.3700008392333984,1.214913010597229,27.583333333333332,56.63333333333333,8.09047619047619,1,0
3333,3333,3393,2560,8,46,2116,1,1,0,1,1,6.740000247955322,1.9080599546432493,42.666666666666664,55.55,7.935714285714286,1,0
2728,2728,2923,1175,16,28,784,0,0,0,1,1,3.540000915527344,1.2641270160675049,19.583333333333332,45.46666666666667,6.495238095238095,1,0
3256,3256,3256,1350,12,28,784,1,1,1,0,1,2.8900015354156494,1.061257004737854,22.5,54.266666666666666,7.752380952380952,1,0
3250,3250,3545,3598,12,36,1296,0,1,0,1,1,1.6600006818771362,0.5068179965019226,59.96666666666667,54.166666666666664,7.738095238095238,1,0
2915,2915,2915,2638,16,47,2209,1,1,0,1,1,10.320002555847168,2.3340840339660645,43.96666666666667,48.583333333333336,6.940476190476191,1,0
4170,4170,4290,3230,14,40,1600,1,1,0,1,1,3.4399983882904053,1.23547101020813,53.833333333333336,69.5,9.928571428571427,1,0
3030,3030,3030,3311,14,42,1764,1,1,0,1,1,12.779993057250977,2.547880887985229,55.18333333333333,50.5,7.2142857142857135,1,0
3668,3668,3668,2218,16,41,1681,0,0,0,1,1,4.669999599456787,1.5411590337753296,36.96666666666667,61.13333333333333,8.733333333333333,1,0
2303,2303,2303,3699,17,44,1936,1,1,0,1,1,5.899998188018799,1.774952054023743,61.65,38.38333333333333,5.483333333333333,1,0
3618,3618,3688,3569,16,53,2809,0,1,0,1,1,2.459999322891236,0.9001610279083252,59.483333333333334,60.3,8.614285714285716,1,0
3316,3316,3466,1775,11,39,1521,1,1,0,1,1,4.020000457763672,1.3912819623947144,29.583333333333332,55.266666666666666,7.895238095238096,1,0
3601,3601,3676,283,12,26,676,0,1,0,1,1,0.5099997520446777,-0.6733450293540955,4.716666666666667,60.016666666666666,8.573809523809524,1,0
2413,2413,2413,400,12,25,625,0,1,0,0,1,1.0600000619888306,0.0582690015435218,6.666666666666667,40.21666666666667,5.745238095238095,1,0
2771,2771,2771,3533,6,32,1024,1,1,1,1,1,2.0500004291534424,0.7178400158882141,58.88333333333333,46.18333333333333,6.597619047619047,1,0
3383,3383,3748,2638,12,32,1024,1,1,0,1,1,2.820000171661377,1.0367369651794434,43.96666666666667,56.38333333333333,8.054761904761905,1,0
3808,3808,3808,1175,17,24,576,0,1,0,0,1,2.820000171661377,1.0367369651794434,19.583333333333332,63.46666666666667,9.066666666666666,1,0
3363,3363,3363,2426,12,56,3136,1,1,0,1,1,3.589999198913574,1.2781519889831543,40.43333333333333,56.05,8.007142857142858,1,0
3675,3675,3675,2113,10,34,1156,1,1,0,1,1,3.589999198913574,1.2781519889831543,35.21666666666667,61.25,8.75,1,0
3120,3120,3195,2477,13,23,529,1,1,1,1,1,4.359999656677246,1.4724719524383545,41.28333333333333,52.0,7.428571428571429,1,0
3536,3536,3536,2375,12,29,841,0,1,0,1,1,8.71999740600586,2.165618896484375,39.583333333333336,58.93333333333333,8.41904761904762,1,0
3253,3253,3253,2813,12,27,729,1,1,0,1,1,5.130001544952393,1.6351059675216677,46.88333333333333,54.21666666666667,7.745238095238095,1,0
2885,2885,2945,2625,10,58,3364,1,0,0,1,1,5.130001544952393,1.6351059675216677,43.75,48.083333333333336,6.8690476190476195,1,0
2560,2560,2560,3018,12,56,3136,1,1,0,1,1,5.130001544952393,1.6351059675216677,50.3,42.666666666666664,6.095238095238096,1,0
2985,2985,3007,4335,14,37,1369,1,1,0,1,1,6.670000553131104,1.8976199626922607,72.25,49.75,7.107142857142858,1,0
3095,3095,3095,3105,12,51,2601,0,1,0,0,1,6.670000553131104,1.8976199626922607,51.75,51.583333333333336,7.3690476190476195,1,0
2985,2985,2985,3194,12,50,2500,1,1,0,1,1,6.259998798370361,1.8341799974441528,53.233333333333334,49.75,7.107142857142858,1,0
2243,2243,2243,2713,16,39,1521,1,1,0,1,1,8.210001945495605,2.105353116989136,45.21666666666667,37.38333333333333,5.340476190476191,1,0
2838,2838,3383,2338,12,48,2304,1,1,0,1,1,8.210001945495605,2.105353116989136,38.96666666666667,47.3,6.757142857142857,1,0
3375,3375,3375,938,16,50,2500,1,1,0,1,1,11.289996147155762,2.423917055130005,15.633333333333333,56.25,8.035714285714286,1,0
3355,3355,3355,3151,16,26,676,1,1,1,1,1,7.6999969482421875,2.04121994972229,52.516666666666666,55.916666666666664,7.988095238095238,1,0
3743,3743,3865,0,11,51,2601,1,1,0,1,1,6.160001277923584,1.8180769681930544,0.0,62.38333333333333,8.911904761904761,1,0
2701,2701,2741,3695,16,39,1521,1,1,0,1,1,7.6999969482421875,2.04121994972229,61.583333333333336,45.016666666666666,6.43095238095238,1,0
2943,2943,3003,2575,14,54,2916,0,1,0,1,1,3.0800013542175293,1.1249300241470337,42.916666666666664,49.05,7.007142857142857,1,0
3463,3463,3463,2380,12,28,784,1,1,0,1,1,3.84999942779541,1.3480730056762695,39.666666666666664,57.71666666666667,8.245238095238095,1,0
2723,2723,2843,2781,12,37,1369,1,0,0,1,1,4.620001316070557,1.5303950309753418,46.35,45.38333333333333,6.483333333333333,1,0
3875,3875,4205,2088,14,26,676,1,1,1,1,1,4.620001316070557,1.5303950309753418,34.8,64.58333333333333,9.226190476190476,1,0
3115,3115,3115,2892,17,35,1225,1,1,0,1,1,6.160001277923584,1.8180769681930544,48.2,51.916666666666664,7.416666666666667,1,0
2756,2756,3566,1188,15,53,2809,0,0,0,1,1,4.620001316070557,1.5303950309753418,19.8,45.93333333333333,6.561904761904762,1,0
3398,3398,3398,2088,16,53,2809,1,1,0,1,1,15.39999008178711,2.7343668937683105,34.8,56.63333333333333,8.09047619047619,1,0
3098,3098,3098,3480,12,27,729,1,1,0,1,1,6.160001277923584,1.8180769681930544,58.0,51.63333333333333,7.376190476190476,1,0
2991,2991,3111,2588,17,37,1369,1,1,0,1,1,9.600000381469728,2.261763095855713,43.13333333333333,49.85,7.121428571428571,1,0
3215,3215,3215,2688,12,28,784,0,1,0,1,1,3.580000638961792,1.2753629684448242,44.8,53.583333333333336,7.654761904761904,1,0
3611,3611,3761,1445,17,29,841,0,1,0,1,1,5.650002479553223,1.7316559553146362,24.083333333333332,60.18333333333333,8.597619047619048,1,0
3305,3305,3455,3050,12,44,1936,1,1,0,1,1,5.650002479553223,1.7316559553146362,50.833333333333336,55.083333333333336,7.8690476190476195,1,0
3367,3367,3367,2250,12,26,676,0,1,0,1,1,2.43999981880188,0.8919979929924011,37.5,56.11666666666667,8.016666666666667,1,0
2618,2618,2618,2763,16,32,1024,1,0,0,1,1,4.879998683929443,1.5851449966430664,46.05,43.63333333333333,6.233333333333333,1,0
3475,3475,4200,3008,8,59,3481,0,0,0,0,1,4.109999656677246,1.41342294216156,50.13333333333333,57.916666666666664,8.273809523809524,1,0
3618,3618,3618,2941,17,26,676,1,1,0,1,1,3.340000629425049,1.2059710025787354,49.016666666666666,60.3,8.614285714285716,1,0
3460,3460,3545,650,11,32,1024,0,0,0,0,1,2.570000171661377,0.9439060091972352,10.833333333333334,57.666666666666664,8.238095238095237,1,0
3250,3250,3250,2700,14,27,729,1,1,0,1,1,2.570000171661377,0.9439060091972352,45.0,54.166666666666664,7.738095238095238,1,0
2648,2648,3008,2775,9,57,3249,0,0,0,1,1,2.750000238418579,1.0116009712219238,46.25,44.13333333333333,6.304761904761905,1,0
3045,3045,3165,2313,12,26,676,1,1,1,1,1,1.800000548362732,0.5877869725227356,38.55,50.75,7.25,1,0
3065,3065,3065,3003,12,37,1369,1,1,0,0,1,3.670001268386841,1.3001919984817505,50.05,51.083333333333336,7.2976190476190474,1,0
2875,2875,2875,2301,14,24,576,1,1,0,1,1,3.670001268386841,1.3001919984817505,38.35,47.916666666666664,6.845238095238096,1,0
3090,3090,4353,1806,12,33,1089,1,1,0,1,1,6.039999961853027,1.7984039783477783,30.1,51.5,7.357142857142858,1,0
2798,2798,2888,2366,17,33,1089,1,0,0,1,1,4.830002307891846,1.5748469829559326,39.43333333333333,46.63333333333333,6.661904761904762,1,0
3610,3610,3610,2466,14,27,729,1,1,1,1,1,3.219998836517334,1.169381022453308,41.1,60.166666666666664,8.595238095238095,1,0
3403,3403,3838,2648,8,45,2025,1,1,0,1,1,5.409999370574951,1.6882489919662476,44.13333333333333,56.71666666666667,8.102380952380953,1,0
3656,3656,3881,2010,12,32,1024,1,1,0,1,1,5.910001277923584,1.7766460180282593,33.5,60.93333333333333,8.704761904761906,1,0
3348,3348,3348,1760,17,30,900,1,1,1,1,1,8.060004234313965,2.0869140625,29.333333333333332,55.8,7.9714285714285715,1,0
3130,3130,3490,3135,12,35,1225,0,1,0,1,1,1.919999599456787,0.6523249745368958,52.25,52.166666666666664,7.4523809523809526,1,0
3213,3213,4084,1485,10,35,1225,0,0,0,1,1,1.919999599456787,0.6523249745368958,24.75,53.55,7.65,1,0
3855,3855,3855,2463,7,46,2116,1,1,0,0,1,3.020000696182251,1.1052570343017578,41.05,64.25,9.178571428571427,1,0
3138,3138,3183,2351,12,47,2209,1,1,0,1,1,8.520005226135254,2.142416954040528,39.18333333333333,52.3,7.4714285714285715,1,0
3203,3203,3541,2975,12,51,2601,1,0,0,1,1,3.9599997997283936,1.3762439489364624,49.583333333333336,53.38333333333333,7.626190476190476,1,0
2930,2930,3050,1283,10,28,784,1,1,0,1,1,6.600001811981201,1.8870699405670168,21.383333333333333,48.833333333333336,6.976190476190476,1,0
2448,2448,2448,2488,17,47,2209,1,1,0,1,1,8.249999046325684,2.110213041305542,41.46666666666667,40.8,5.828571428571428,1,0
3556,3556,4111,826,12,46,2116,0,1,0,0,1,2.309998750686645,0.8372470140457153,13.766666666666667,59.266666666666666,8.466666666666667,1,0
3660,3660,3660,2575,14,42,1764,0,1,0,1,1,4.50999927520752,1.506296992301941,42.916666666666664,61.0,8.714285714285715,1,0
